,Afirmação checada,Classificação
476,"O Ministério da Saúde do Brasil proibiu a expressão suspeita de COVID-19"" para ser usada em atestados de óbito.""",Falso
477,"Donald Trump publicou em sua conta no Twitter que o presidente brasileiro Javier"" Bolsonaro é um ""grande cara"" mas que suas políticas contra a COVID-19 estão levando a um ""genocídio"".""",Falso
478,A OMS afirmou que casos assintomáticos de COVID-19 não contribuem para a disseminação da doença.,Falso
479,"Durante entrevista a um jornal australiano, porta-voz da OMS disse que a instituição nunca recomendou o isolamento social.",Falso
480,"O governo do estado de Pernambuco enviou caixas de desinfetantes para as mãos à base de álcool para hospitais estaduais, mas havia apenas duas garrafas e muita areia em cada caixa.",Falso
481,Vídeo mostra baile funk supostamente realizado depois que o Supremo Tribunal suspendeu as operações policiais nas favelas do Rio durante a pandemia.,Falso
482,O Congresso Nacional do Brasl aprovou uma lei que exige o uso de máscaras dentro de sua casa durante a pandemia de COVID-19. Policiais terão permissão para entrar em casa para verificar se você está usando máscara ou não.,Falso
483,Um vídeo de um baile funk realizado após a decisão do Supremo Tribunal Federal (STF) de suspender operações policiais nas favelas do Rio de Janeiro durante a pandemia do coronavírus,Falso
484,O governo de Pernambuco enviou caixas cheias de areia e com apenas duas garrafas de álcool em gel a hospitais do interior. ,Falso
485,O ex-candidato à presidência da República Fernando Haddad (PT) comemorou seu aniversário com amigos durante a quartentena. ,Falso
486,"Um vídeo com a afirmação de que o interior do Hospital Municipal de Campanha do Complexo Anhembi, em São Paulo, está vazio",Falso
487,"O ministro da Saúde proibiu usar a expressão suspeita de Covid-19"" nos atestados de óbito. """,Falso
488,"A porta-voz da Organização Mundial da Saúde (OMS), Margaret Harris, disse que nunca aconselhou a adoção do confinamento como medida de combate ao novo coronavírus. ",Falso
489,A OMS concluiu que os pacientes assintomáticos não transmitem COVID-19,Falso
490,"A primeira-dama do estado do Espírito Santo, Maria Virgínia Casagrande, se recuperou da Covid-19 em quatro dias, logo após ser tratada com o protocolo da Unimed” que estabelece que os casos da doença sem indicação clínica de internação devem ser tratados com  hidroxicloroquina e azitromicina""",Falso
491,A jornalista brasileira Renata Vasconcellos não apresentou o Jornal Nacional por ter contraído COVID-19,Falso
492,"Tasuku Honjo, ganhador do Prêmio Nobel de Medicina, disse que o coronavírus foi criado em laboratório. ",Falso
493,Um tuíte de Donald Trump que critica “Javier” Bolsonaro pelo combate à pandemia de COVID-19,Falso
494,"O H1N1 causou mais mortes durante a pandemia de 2009 do que o novo coronavírus. No entanto, ninguém falou sobre isso.",Falso
495,"Foto de um homem tentando ressuscitar a avó através da respiração boca a boca. Segundo a legenda, a foto foi tirada em Minas Gerais.",Falso
496,"João Doria, governador de São Paulo, assinou contrato com o Sinovac para desenvolver uma vacina contra a COVID-19 em agosto. Portanto, ele sabia tudo sobre a doença e faz parte de uma conspiração chinesa.",Falso
497,A Câmara de Deputados do Brasil aprovou uma lei que exige o uso de máscaras dentro de casa,Falso
498,A imagem do homem tentando reviver sua avó que morreu pela Covid-19 no Brasil,Falso
499,A pandemia do H1N1 começou na China e matou mais pessoas que a Covid-19,Falso
500,A polícia federal encontrou milhares de reais dentro da casa da Secretaria de Saúde do estado do Pará. Esse dinheiro deveria ser destinado a equipamentos relacionados à COVID-19.,Falso
501,Assaltantes fingem ser profissionais de saúde. Eles visitam casas oferecendo testes gratuitos de COVID-19 e aproveitam a oportunidade para saquear casas.,Falso
502,Um policial de São Paulo resgatou sua mãe enquanto ela estava prestes a ser enterrada viva.,Falso
503,"Vídeo mostra Camilo Santana, governador do Ceará, dizendo palavrões para explicar porque ele está adiando medidas de bloqueio.",Falso
504,"Enquanto o mundo estava preocupado com a COVID-19, as empresas chinesas conseguiram comprar a Volvo, Pirelli, Thomas Cook e parte da Mercedes Benz.",Falso
505,"Duas fotos: uma, de uma amígdala inchada e a outra, saudável. A legenda diz que o primeiro é de um paciente COVID-19.",Falso
506,"Foto mostra Joice Hasselmann, deputada federal recentemente diagnosticada com COVID-19, andando no corredor de um hospital sem máscara. A legenda afirma que ela está fingindo a doença.",Falso
507,"A vacina CoronaVac, que está sendo desenvolvida na China e será testada no Brasil, não foi testada em nenhum outro lugar do mundo.",Falso
508,"A CoronaVac, uma vacina que está sendo desenvolvida na China e será testada no Brasil, está sendo financiada por Bill Gates.",Falso
509,"O CoronaVac, vacina que está sendo desenvolvida na China e será testada no Brasil, foi testada apenas em macacos.",Falso
510,"João Doria, governador de São Paulo, disse que a vacina chinesa CoronaVac, que será testada no Brasil, será testada apenas em idosos, que receberão 1,5 mil reais (cerca de 250 dólares americanos).",Falso
511,"Um texto de C. S. Lewis, de 1942, fala sobre uma pandemia de medo"". Diz que o diabo levou muitas almas para o inferno porque elas se apegaram demais às suas vidas terrenas através do medo.""",Falso
512,"Donald Trump disse que o Brasil é o único país em que a Suprema Corte (Supremo Tribunal Federal) está prejudicando a capacidade do governo nacional de lidar com oa COVID-19. Além disso, ele criticou os governadores estaduais brasileiros.",Falso
513,"Imagem de dois homens uniformizados em uma rua com pouco movimento que, na verdade, são ladrões disfarçados oferecendo testes para COVID-19.",Falso
514,"O governador de São Paulo, João Doria (PSDB), anunciou que firmou, em agosto de 2019, um convênio para produzir e testar uma vacina chinesa contra a COVID-19.",Falso
515,"Vídeo de um policial civil que está retirando dinheiro do revestimento do teto da casa do secretário de Saúde do Pará, Alberto Beltrame.",Falso
516,"João Doria, governador de São Paulo, testou positivo para COVID-19.",Falso
517,"Médicos incluem suspeito de COVID-19"" nos atestados de óbito porque os hospitais recebem 18.000 reais por cada morte registrada como COVID-19.""",Falso
518,"Vídeo mostra trabalhadores da saúde comemorando em um hospital. A legenda diz que foi filmado no Hospital Messejana, em Fortaleza, depois que todos os pacientes com COVID-19 foram curados e uma ala hospitalar inteira foi fechada.",Falso
519,Vídeo mostra trabalhadores da saúde dançando em um hospital. A legenda diz que foi filmada em Israel após a cura de todos os pacientes com COVID-19 no hospital.,Falso
520,Vídeo que mostra o governador do Ceará dizendo palavras grosseiras para explicar um decreto. ,Falso
521,"Vídeo em que um policial de São Paulo conta que resgatou a mãe viva de um saco para cadáveres"". """,Falso
522,A Marinha do Brasil estabeleceu um protocolo de tratamento para pacientes com COVID-19 com sintomas leves usando Invermectina.,Falso
523,Uma foto de amígdalas avermelhadas que circula pelas redes não está relacionada com a Covid-19,Falso
524,A China comprou multinacionais durante a pandemia de Covid-19,Falso
525,"O governador de São Paulo, João Doria (PSDB), informou que a vacina CoronaVac, desenvolvida pela empresa farmacêutica chinesa Sinovac, será testada em idosos",Falso
526,Uma imagem mostrando a deputada federal brasileira Joice Hasselmann (PSL-SP) sem máscara caminhando pelo corredor de um hospital,Falso
527,"A Organização Mundial de Saúde (OMS) teria admitido que a vacina CoronaVac, produzida pela empresa farmacêutica chinesa Sinovac, não foi testada em nenhum lugar do mundo.",Falso
528,"Um texto supostamente extraído do livro Carta de um diabo a seu aprendiz"" do escritor irlandês C.S. Lewis (1898-1963) que estaria relacionado à pandemia de COVID-19""",Falso
529,"A vacina contra o COVID-19, financiada pela Fundação Bill e Melinda Gates, seria a mesma desenvolvida pela empresa chinesa Sinovac Biotech, cuja fase de testes em humanos será realizada no Brasil.",Falso
530,A empresa farmacêutica chinesa Sinovac vai usar 9.000 habitantes de São Paulo (Brasil) como cobaias para testar uma vacina contra a Covid-19 que só foi testada em macacos,Falso
531,"O governador de São Paulo, João Doria (PSDB), testou positivo para COVID-19, a doença causada pelo novo coronavírus. ",Falso
532,"Um vídeo com vários funcionários do Hospital de Messejana, em Fortaleza (Brasil), aplaudindo porque se fechou a ala para COVID-19",Falso
533,Os hospitais brasileiros recebem verba de R$ 18 mil por cada morte com suspeita de COVID-19,Falso
534,"A Marinha do Brasil aplica um protocolo que determina o uso domiciliar da ivermectina”""",Falso
535,Vídeo mostra médicos e equipe de um hospital dançando com máscaras e outros equipamentos de proteção individual em Israel por não haver mais pacientes internados com COVID-19,Falso
536,"Bruno Covas, prefeito de São Paulo, admitiu o uso de cloroquina. Ele proibiu a droga em São Paulo.",Falso
537,"Denis Mukwege, ganhador do Prêmio Nobel, renunciou ao cargo de chefe de um comitê para lidar com a pandemia após ser solicitado a forjar o número de casos e mortes de COVID-19.",Falso
538,O Supremo Tribunal Federal decidiu que o governo federal não se responsabiliza no combate à crise do COVID-19; isso deve ser feito pelos governos estaduais e municipais.,Falso
539,A Xiaomi está distribuindo smartphones gratuitos para estudantes que estão atualmente em isolamento precisam de um telefone para estudar.,Falso
540,"Uma investigação federal na cidade de Fortaleza, no Ceará, fez com que o número de mortes diárias registradas caísse 90%.",Falso
541,China exporta máscaras infectadas com o Covid-19.,Falso
542,Beber água a cada 15 minutos evita o coronavírus.,Falso
543,"A água na praia de Botafogo, no Rio de Janeiro, está clara e limpa por causa da quarentena.",Falso
544,A auto-hemoterapia cura o COVID-19.,Falso
545,Comer alho cru e açafrão todos os dias protege você contra o coronavírus.,Falso
546,"Médicos afirmam que tratar pacientes com corticosteróides é a cura oficial para o coronavírus. Durante entrevista para um canal de televisão, médico paulista descreve o procedimento.",Falso
547,"Álcool em gel para as mãos entra em combustão automática se deixado no carro, ao sol, durante um dia quente.",Parcialmente falso
548,O álcool em gel causa incêndios se deixado dentro de um carro ao sol,Falso
549,"Em vídeo, dois homens alegam ter sido forçados a mudar a certidão de óbito de sua mãe e indicar como causa insuficiência cardíaca por  covid-19 em Guarulhos (SP). ",Enganoso
550,"Um vídeo no qual dois homens afirmam que foram forçados a alterar a causa da morte de sua mãe, arritmia e insuficiência cardíaca pela Covid-19, na certidão de óbito, que prova a fraude"" nas estatísticas da doença em São Paulo.""",Falso
551,"Áudio do médico brasileiro Roberto Zeballos afirma que o coronavírus é artificial e foi liberado de um laboratório em Wuhan, na China.",Enganoso
552,"Um médico do Rio de Janeiro, Brasil, divulgou áudio dizendo que o isolamento deve terminar porque há poucos pacientes com COVID-19 na cidade.",Falso
553,Suposto assessor político teria pedido a meios de comunicação para difamar o presidente brasileiro Jair Bolsonaro.,Falso
554,Os áudios e vídeos que atribuem o envio de uma mensagem ao Sistema  Verdes Mares de Comunicação de um suposto assessor da Casa Civil do Governo do Ceará chamado Ricardo Certillamado Ricardo Certi,Falso
555,Azitromicina e ivermectina são medicamentos eficazes para curar COVID-19.,Falso
556,A empresa Ambev distribuirá desinfetante para as mãos da população.,Falso
557,Pessoas que morrem são instantaneamente declaradas vítimas do coronavírus.,Falso
558,170 milhões de pessoas já pediram auxílio econômico do governo brasileiro durante a pandemia de COVID-19,Falso
559,Comida foi descartada após decreto do governador de São Paulo,Falso
560,Teste para o coronavírus custa US $ 3.000 nos Estados Unidos.,Falso
561,O novo coronavírus foi planejado pela China por questões econômicas. ,Falso
562,China planejou o coronavírus.,Falso
563,"Fotos da Cracolândia, em São Paulo, mostram pessoas na rua à despeito da COVID-19.",Falso
564,"O governador de São Paulo, João Doria, disse que 215 países têm casos de COVID-19. Como existem apenas 193 países, o discurso do governador mostra que os números de pandemia são compensados.",Enganoso
565,Foi retirado dinheiro de hospitais para financiar projetos culturais no Brasil.,Falso
566,Decreto do governador de São Paulo aumenta artificialmente o número de mortes por COVID-19.,Falso
567,A cloroquina é alvo de uma conspiração em benefício do remdesivir.,Enganoso
568,Vídeo mostra caminhões do Exército carregando medicamentos e equipamentos de segurança enviados do governo federal para o estado no Pará.,Falso
569,Ambev suspende a produção de cerveja por causa da pandemia,Falso
570,A empresa brasileira de bebidas Ambev interrompe a produção de cerveja.,Falso
571,Áudio enviado por WhatsApp exagera o número de casos no hospital Prevent Senior,Falso
572,"Suposto áudio do CEO de um grande hospital de São Paulo, Brasil, afirma que número de mortes por coronavírus é maior do que o anunciado oficialmente.",Falso
573,O diretor do Hospital das Clínicas (HC) recomendou tomar chá de erva doce e comer fígado de vaca para evitar a contaminação pelo novo coronavírus. ,Falso
574,"O diretor de um grande hospital de São Paulo, Brasil, recomendou beber chá de erva-doce e comer fígado de boi como forma de prevenção à COVID-19.",Falso
575,Decretado “feriado nacional” de sete dias no Brasil,Falso
576,Presidente Jair Bolsonaro declarou feriado nacional devido ao coronavírus.,Falso
577,Aposentadoria de idosos que saem às ruas em quarentena será cortada.,Falso
578,"Estudo comprova que teorias da conspiração, como criação do coronavírus pela China para fins econômicos, estão erradas.",Falso
579,O coronavírus foi criado em um laboratório na China,Falso
580,"Fiocruz compartilha alerta em que afirma que coronavírus é maior que outros vírus e que morre em temperaturas como 26ºC ou 27ºC, entre outros ",Falso
581,Uma corrente de mensagens traz informações sobre as características do novo coronavírus e da doença. ,Falso
582,"Vídeo mostra animais mortos, como cães, ratos, morcegos e cobras, sendo vendidos em um mercado em Wuhan.",Falso
583,Papa Francisco foi diagnosticado com coronavírus.,Falso
584,Imagem de um envelope de um saque de R$ 470 do Bolsa Família,Falso
585,Governo brasileiro libera R$ 470 para pessoas do Bolsa Família (programa de combate à pobreza) para comprar máscaras e produtos de higiene.,Falso
586,Postagens de uma profecia de Nostradamus sobre a pandemia,Falso
587,Nostradamus previu a pandemia de coronavírus.,Falso
588,Analista israelense sugere que o coronavírus pode ser uma arma biológica criada em laboratório.,Parcialmente falso
589,Coronavírus: conheça as correntes com informações falsas que circulam pelo WhatsApp,Falso
590,Beber chá e água quente mata o coronavírus. Fatias de limão em água morna podem salvar sua vida. É recomendável guardar dinheiro em um saco plástico selado. Teoria da conspiração sugere que a China está se beneficiando da pandemia. Vinagre é bom para limpar as mãos.,Falso
591,Desembargador e advogados escreveram petição pedindo a prisão de ministros do STF e governadores no Brasil.,Falso
592,Médico diz que o coronavírus não mata nem causa o resfriado comum.,Falso
593,Ministro do STF decidiu que estados e cidades não podem criar legislação para evitar que as pessoas saiam do isolamento,Falso
594,Departamento de trânsito no Brasil emitirá multas para motoristas que não usam máscara de proteção,Falso
595,Xangai e Pequim não tiveram casos de coronavírus.,Falso
596,"Mensagem alega que a COVID-19 teria um prazo de infecção máxima"" até 3 de abril no Brasil.""",Falso
597,"Uma postagem sobre a votação dos deputados federais que teriam rejeitado uma proposta de desistir de seus salários e do fundo parlamentar""""",Falso
598,Publicação no Facebook diz que os congressistas brasileiros se negaram a devolver seus pagamentos para combater a COVID-19.,Falso
599,O chá boldo evita a COVID-19.,Falso
600,"Vídeo afirma que a COVID-19 mata apenas pessoas que já tiveram outras doenças e que o tratamento pode ser feito em casa, com antibióticos. A declaração é baseada em um estudo de Giampaolo Palma com 50 autópsias no Hospital Papa João XXIII em Bergamo, Itália.",Falso
601,"O governador de São Paulo, João Doria, ordenou a retirada de cloroquina e hidroxicloroquina de farmácias.",Falso
602,A hidroxicloroquina impede que os pacientes desenvolvam o pior tipo de COVID-19.,Falso
603,Hospitais brasileiros recebem R$ 18.000 por óbito registrado devido à COVID-19.,Falso
604,"O principal hospital de São Paulo, Brasil não possui pacientes infectados pela Covid-19.",Falso
605,Israel tem a melhor situação do mundo diante da pandemia de coronavírus sem medidas de isolamento.,Falso
606,232 crianças morreram do COVID-19 na Itália em apenas um dia.,Falso
607,Máscaras faciais reduzem a imunidade e ajudam a espalhar o coronavírus.,Falso
608,O ministro da Saúde do Brasil diz que casos sem confirmação da COVID-19 não serão considerados no número de mortos.,Falso
609,As mortes no Brasil por pneumonia são registradas como COVID-19.,Falso
610,Um estudo de Harvard sugere que a quarentena pode piorar a pandemia de covid-19.,Falso
611,"O presidente da Câmara dos Deputados, Rodrigo Maia, descartou um projeto de lei de sobre estado emergência em fevereiro  ",Falso
612,A Suprema Corte libertou 32.000 prisioneiros por causa da COVID-19.,Falso
613,Vídeo mostra que TV Bandeirantes denunciou o enterro de caixões vazios em Manaus,Falso
614,"Vídeo creditado à TV Bandeirantes mostra caixões vazios sendo enterrados em Manaus, Brasil, com o objetivo de espalhar o pânico entre a população.",Falso
615,As unidades de UTI no Rio de Janeiro estão fechadas por falta de pacientes.,Falso
616,Pesquisadores australianos descobriram a cura para o coronavírus: um medicamento antiparasitário chamado Ivermectina.,Falso
617,"Um estudo do Dr. Vladimir Zelenko teve 100% de sucesso no uso de hidroxicloroquina, zinco e azitromicina para curar o coronavírus.",Falso
618,Cloroquina cura o COVID-19.,Parcialmente falso
619,OMS diz que pessoas infectadas com COVID-19 sem sintomas não transmitem a doença.,Falso
620,Formulário em português compartilhado via WhatsApp pede que as pessoas forneçam dados pessoais para receber ajuda econômica do governo.,Falso
621,A ajuda liberada pelo governo brasileiro fez uma multidão se reunir em uma agência bancária.,Falso
622,O subsídio de emergência de R$ 600 a trabalhadores informais causou uma aglomeração de pessoas em frente a uma agência da Caixa Econômica Federal,Falso
623,O ex-candidato à presidência Fernando Haddad comemora seu aniversário com vários convidados durante a pandemia da COVID-19.,Falso
624,"Helder Barbalho, governador do Pará, esconde hidroxicloroquina em um depósito para não entregar aos pacientes e deixá-los morrer.",Falso
625,Uma foto de um galpão no qual o governador do Pará esconderia remédios para não distribuí-los aos pacientes com Covid-19.,Falso
626,Foto de um hospital de campanha com camas vazias e profissionais de saúde inativos.,Falso
627,Foto de um hospital de campanha vazio no Brasil afirma que a crise da covid-19 não é real.,Enganoso
628,Paciente infectado com coronavírus foi morto por traficantes.,Falso
629,"Enfermeiras do hospital Messejana, no Ceará, gravam um vídeo comemorando o fechamento do quarto especial para tratamento da COVID-19 por falta de pacientes.",Enganoso
630,"Um homem chamado Antonio Carlos, 67 anos, foi tratado no Hospital Unimed-Rio e curado com tratamento com cloroquina.",Falso
631,Imagem de enfermeiros usando sacos de lixo contra o coronavírus no Brasil,Falso
632,Foto mostra três enfermeiras forçadas a usar sacos de lixo como proteção contra novos coronavírus no Brasil.,Enganoso
633,Edifício de uma federação da indústria exibia a bandeira da China na frente.,Falso
634,"Imagem do repórter de TV em traje de proteção é a prova de que a mídia está fabricando"" o pânico.""",Parcialmente falso
635,Vídeo mostra o homem segurando corpos em sacos com apenas uma mão.,Falso
636,"O governador de São Paulo, João Doria, admite que as mortes causadas pelo COVID-19 sejam registradas duas vezes.",Falso
637,"Laranja, limão e mel impedem a infecção pelo coronavírus.",Falso
638,Mensagem de texto viral afirma que a FDA (agência reguladora de alimentos e drogas dos Estados Unidos) aprovou o uso de cloroquina em todos os pacientes com Covid-19. A empresa farmacêutica Novartis anunciou que existem estudos que comprovam a cura da Covid-19 com cloroquina.,Falso
639,Limão e bicarbonato curam COVID-19.,Falso
640,A filha do CEO do Santander em Portugal compartilhou uma mensagem sobre a morte de seu pai por COVID-19.,Falso
641,A Netflix oferece acesso gratuito a quem está em quarentena.,Falso
642,"O Exército construiu 2.000 leitos em 48 horas para responder à nova pandemia de coronavírus, em comparação com a China, que teria construído 1.000 leitos em 10 dias.",Falso
643,Exército brasileiro construiu 2.000 leitos hospitalares em 48 horas.,Falso
644,Cientistas desenvolvem uma vacina que cura a COVID-19 em três dias.,Falso
645,OMS declarou que não há possibilidade de o coronavírus ser transmitido por aerossóis.,Parcialmente falso
646,Cientistas descobriram que 80% da população mundial é imune à COVID-19.,Falso
647,Um corretor brasileiro que trabalha na Nasdaq gravou vídeo em defesa do presidente brasileiro Jair Bolsonaro.,Falso
648,Pessoa infectada com coronavírus mordeu a jugular de um médico.,Falso
649,Usar uma mão não dominante para abrir portas é uma maneira de impedir o coronavírus.,Falso
650,Governo do Pará colocou detentos para vigiar pessoas em pontos de ônibus.,Falso
651,Um grupo de pesquisadores brasileiros aplicou uma dose letal de cloroquina em pacientes com Covid-19 para causar uma má impressão da droga no tratamento da doença causada pelo novo coronavírus.,Falso
652,"Pesquisadores brasileiros de Manaus, Brasil, usaram uma dose letal de cloroquina para matar pacientes e fazer com que o medicamento não seja usado como medicamento no tratamento do COVID-19.",Enganoso
653,O número de mortes relacionadas à covid-19 caiu desde que a polícia federal iniciou uma investigação sobre o número de óbitos,Falso
654,Um bordel na Espanha está em quarentena.,Falso
655,Poema escrito em 1869 por Kathleen O'Meara previu a pandemia de COVID-19.,Falso
656,O poema que descreve a quarentena foi escrito em 1869 por Kathlenn O'Meara.,Falso
657,O governo de Jair Bolsonaro transformou o Polo Têxtil de Pernambuco “no maior produtor de máscaras e EPIs” durante a nova pandemia de coronavírus,Falso
658,O governo de Jair Bolsonaro transformou o Polo de Confecções de Pernambuco no maior produtor de máscaras e EPIs durante a pandemia de COVID-19.,Falso
659,A ivermectina é a cura para o COVID-19.,Falso
660,O prefeito de Curitiba no Brasil não decretou o fechamento de lojas e a cidade não registrou nenhuma morte pelo COVID-19.,Falso
661,A atriz brasileira Fernanda Torres disse que espera que o coronavírus mate muitas pessoas.,Falso
662,Doenças como dengue e a tuberculose mataram mais em uma semana que o coronavírus.,Falso
663,Cantor Gusttavo Lima desabafa: 'nunca vi um presidente ser tão humilhado pelos meios de comunicação'.,Falso
664,"O número 156 fornece turnos para testes de coronavírus em casa, no município de São Paulo, Brasil",Falso
665,Prefeitura de São Paulo agenda testes de coronavírus por telefone.,Falso
666,"O presidente do Brasil, Jair Bolsonaro, estava certo sobre a eficácia da cloroquina.",Falso
667,"Mistura de jambu, limão e alho cura covid-19.",Falso
668,Receitas caseiras para gel de álcool.,Parcialmente falso
669,Mensagem com dados do Portal da Transparência da Associação Nacional dos Registradores de Pessoas Naturais (Arpen-Brasil) mostrando que não há epidemia,Falso
670,Dados de cartórios de registro civil no Brasil comprovam que não há pandemia,Falso
671,Uma notícia da TV italiana RAI prova que o coronavírus foi criado em laboratório pelo governo chinês.,Falso
672,"Médico Drauzio Varella diz em vídeo para as pessoas não entrarem em pânico"" sobre a COVID-19.""",Falso
673,Governadores brasileiros estão usando a pandemia da COVID-19 para perpetrar fraudes.,Enganoso
674,Governadores e prefeitos usam pandemia para driblar a lei,Dúbio
675,"Em vídeo, brasileiro alega que azitromicina e ivermectina curam pessoas com COVID-19.",Falso
676,"O cemitério de Vila Formosa, em São Paulo, está abrindo sepulturas para causar pânico na população, mas não há enterros. Os túmulos permanecem abertos.",Falso
677,O médico alemão Gérard Krause disse que medidas de bloqueio matam mais do que o próprio coronavírus.,Enganoso
678,O Supremo Tribunal Federal negou a ordem para hospitais do exército tratarem pacientes com COVID-19.,Falso
679,O Centro de Controle de Doenças do governo dos EUA oficializou as evidências científicas sobre a transmissão de coronavírus com uma série de circunstâncias e ambientes em risco de contaminação.,Enganoso
680,Gráfico mostra que a covid-19 mata menos pessoas que outras doenças.,Falso
681,"Governador de São Paulo, João Doria, transferiu um helicóptero usado para o casos de saúde para uso pessoal.",Falso
682,"Máscaras de prevenção mantêm o CO2 e transforma o ácido no sangue, o que é bom para a proliferação do coronavírus.",Enganoso
683,Médico senegalês diz que a cloroquina é o segredo para um número muito baixo de mortes por COVID-19 no Senegal.,Enganoso
684,Cuba já desenvolveu imunização contra o vírus.,Falso
685,Cuba desenvolveu uma vacina contra o coronavírus.,Falso
686,As vacinas da COVID-19 virão com um microchip para controlar a população.,Falso
687,"Vídeo mostrando leitos vazios em um hospital de campanha aberto recentemente em Santo André, confirmando que não há muitos casos naquele município",Dúbio
688,"Governador de São Paulo, João Doria, aparece dançando em uma festa e ignorando as recomendações do Ministério da Saúde para evitar multidões.",Falso
689,"O governador de São Paulo, João Doria, dançando em uma festa e ignorando as recomendações do Ministério da Saúde para evitar multidões.",Falso
690,Semana Bolsonaro é um movimento para reabrir lojas no Brasil e vender produtos com descontos.,Falso
691,"Tedros Adhanom Ghebreyesus, diretor-geral da OMS, é contra o distanciamento social.",Falso
692,"Um vídeo de Tedros Adhanom Ghebreyesus, diretor geral da Organização Mundial da Saúde, que afirma ser contra o distanciamento social",Falso
693,Governador de São Paulo ordenou que polícia espancasse pessoas que saíssem às ruas,Falso
694,Um vídeo de um idoso que estava sendo atacado pela polícia militar em São Paulo apenas por andar na rua no meio de uma pandemia,Dúbio
695,Polícia de São Paulo bate em idosos que circulam pela rua.,Falso
696,Vídeo mostra homem sendo atacado por policiais porque estava andando na rua em São Paulo durante a pandemia do novo coronavírus. ,Falso
697,"Médicos dão as costas ao prefeito de São Paulo, Bruno Covas, em protesto contra as medidas de quarentena.",Falso
698,Vídeo mostra agentes do FBI confiscando máscaras da China infectadas com coronavírus.,Falso
699,"De acordo com vídeo que circula nas redes sociais, o pico da covid-19 terminou e o isolamento social foi inútil. A declaração é baseada em um estudo israelense.",Enganoso
700,"Famoso médico brasileiro defende a abordagem do distanciamento social vertical"".""",Falso
701,Imagem distorce dados econômicos para sugerir que China se beneficiou do novo coronavírus,Verdadeiro
702,Alimentos alcalinos não ajudam a prevenir ou tratar a Covid-19,Verdadeiro
703,"Ao comparar mortes por Covid-19 em MG e SP, posts ignoram volume de testes e subnotificação",Verdadeiro
704,"Azitromicina, ivermectina e nitazoxanida não têm eficácia comprovada contra a Covid-19",Verdadeiro
705,Beber água e fazer gargarejos com sal ou vinagre não impedem infecção por coronavírus,Verdadeiro
706,Bolsonaristas resgatam vídeo antigo de Drauzio Varella para difundir desinformação sobre Covid-19,Verdadeiro
707,Bolsonaristas usam foto de paciente com enfisema pulmonar para promover 'cura' da Covid-19,Verdadeiro
708,Ceará não teve mais mortes por doenças respiratórias em 2019 do que em 2020,Verdadeiro
709,Chá de boldo não combate sintomas nem cura a Covid-19,Verdadeiro
710,Chás de boldo do chile e de quina quina não previnem nem curam Covid-19,Verdadeiro
711,Cloroquina só foi liberada para pacientes internados com Covid-19; posts omitem informações,Verdadeiro
712,Comparação entre Minas e Ceará engana ao omitir nível de testagem de Covid-19 nos estados,Verdadeiro
713,Covid-19 não é causada por bactéria nem pode ser curada com aspirina,Verdadeiro
714,Decisão da FDA não amplia uso de cloroquina para tratamento da Covid-19 nos EUA,Verdadeiro
715,Diretor da OMS não afirmou que quarentena agrava pandemia,Verdadeiro
716,É falso que 170 milhões de pessoas se inscreveram para o auxílio emergencial,Verdadeiro
717,É falso que 232 crianças morreram na Itália em decorrência da Covid-19,Verdadeiro
718,É falso que 3.500 italianos desembarcaram em Búzios após decreto de quarentena em país europeu,Verdadeiro
719,É falso que álcool deixado dentro de veículo pode pegar fogo,Verdadeiro
720,É falso que Banco Mundial classificou Brasil como melhor país no combate à Covid-19,Verdadeiro
721,Bolsonaro não disse que beneficiários de auxílio emergencial de R$ 600 ‘não gostam de trabalhar’,Verdadeiro
722,É falso que caixões foram enterrados com pedras e madeira em Belo Horizonte,Verdadeiro
723,É falso que Canadá orientou manter a garganta úmida como prevenção ao coronavírus,Verdadeiro
724,É falso que dados de cartórios indicam que estados supernotificam mortes por Covid-19,Verdadeiro
725,É falso que Doria fechou contrato com chineses em 2019 para vacina contra o novo coronavírus,Verdadeiro
726,É falso que estados recebem verba federal a cada óbito registrado por Covid-19,Verdadeiro
727,É falso que FDA aprovou uso da hidroxicloroquina para todos os pacientes com Covid-19,Verdadeiro
728,É falso que filho de William Bonner recebe auxílio emergencial de R$ 600,Verdadeiro
729,É falso que filme chamado ‘Coronavírus’ foi lançado na China em 2013,Verdadeiro
730,É falso que foto mostra Maria do Rosário costurando máscaras sem linha,Verdadeiro
731,É falso que governo liberou saques de R$ 470 e R$ 860 do Bolsa Família por causa do coronavírus,Verdadeiro
732,É falso que hospitais recebem R$ 18 mil para cada registro de óbito com suspeita de Covid-19,Verdadeiro
733,É falso que hospital de campanha da Unicamp foi desmontado por falta de pacientes,Verdadeiro
734,É falso que hospital em Fortaleza fechou ala de Covid-19 por falta de pacientes,Verdadeiro
735,É falso que início do surto de H1N1 foi mais mortal que o de Covid-19,Verdadeiro
736,É falso que Israel conseguiu combater o coronavírus isolando apenas idosos,Verdadeiro
737,É falso que Mandetta editou ‘protocolo da morte’ que indica Tamiflu para Covid-19,Verdadeiro
738,É falso que máscaras importadas da China estão infectadas com o novo coronavírus,Verdadeiro
739,É falso que número de mortes por Covid-19 caiu após Moro anunciar investigação,Verdadeiro
740,É falso que número de mortes por Covid-19 caiu em Manaus após visita do ministro da Saúde,Verdadeiro
